"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","21,121.93","21,083.58","21,154.98","21,051.25","324.47M","0.10%"
"11/07/2024","21,101.57","20,896.41","21,132.80","20,896.41","356.37M","1.54%"
"11/06/2024","20,781.33","20,571.29","20,807.03","20,526.64","448.99M","2.74%"
"11/05/2024","20,227.46","20,042.93","20,249.21","20,042.93","255.44M","1.32%"
"11/04/2024","19,963.60","20,011.55","20,106.99","19,898.57","271.03M","-0.35%"
"11/01/2024","20,033.14","19,955.83","20,162.54","19,950.99","323.83M","0.72%"
"10/31/2024","19,890.41","20,227.19","20,227.19","19,880.26","441.83M","-2.44%"
"10/30/2024","20,387.70","20,510.92","20,559.52","20,378.75","370.22M","-0.79%"
"10/29/2024","20,550.65","20,369.08","20,600.10","20,294.58","284.94M","0.98%"
"10/28/2024","20,351.07","20,455.01","20,470.43","20,344.82","233.56M","0.00%"
"10/25/2024","20,352.01","20,354.91","20,552.82","20,322.25","271.01M","0.59%"
"10/24/2024","20,232.87","20,197.62","20,256.38","20,116.88","269.27M","0.83%"
"10/23/2024","20,066.96","20,303.55","20,312.78","19,934.92","282.27M","-1.55%"
"10/22/2024","20,383.65","20,256.97","20,437.93","20,218.85","237.91M","0.11%"
"10/21/2024","20,361.47","20,280.49","20,386.68","20,193.03","244.98M","0.18%"
"10/18/2024","20,324.04","20,288.48","20,360.29","20,273.55","278.22M","0.66%"
"10/17/2024","20,190.42","20,375.29","20,377.65","20,186.43","270.20M","0.08%"
"10/16/2024","20,174.05","20,172.87","20,200.59","20,036.73","254.38M","0.07%"
"10/15/2024","20,159.83","20,442.77","20,484.31","20,083.56","354.77M","-1.37%"
"10/14/2024","20,439.05","20,366.06","20,493.90","20,355.06","237.84M","0.82%"
"10/11/2024","20,271.97","20,154.83","20,313.20","20,142.17","244.30M","0.15%"
"10/10/2024","20,241.76","20,165.25","20,314.24","20,117.20","239.05M","-0.13%"
"10/09/2024","20,268.86","20,097.56","20,284.42","20,047.86","244.15M","0.80%"
"10/08/2024","20,107.78","19,902.21","20,132.67","19,881.08","265.38M","1.55%"
"10/07/2024","19,800.74","19,954.66","19,990.12","19,763.04","285.93M","-1.17%"
"10/04/2024","20,035.02","20,025.16","20,045.69","19,829.49","262.05M","1.22%"
"10/03/2024","19,793.34","19,712.33","19,902.70","19,688.22","243.83M","-0.05%"
"10/02/2024","19,802.58","19,725.95","19,876.70","19,630.91","238.92M","0.15%"
"10/01/2024","19,773.30","20,046.06","20,056.20","19,622.29","323.24M","-1.43%"
"09/30/2024","20,060.69","19,959.26","20,072.42","19,852.85","288.20M","0.26%"
"09/27/2024","20,008.62","20,147.28","20,152.53","19,964.13","272.52M","-0.53%"
"09/26/2024","20,115.54","20,273.30","20,273.30","19,966.99","322.53M","0.72%"
"09/25/2024","19,972.61","19,922.28","20,043.43","19,921.22","265.40M","0.14%"
"09/24/2024","19,944.84","19,917.56","19,984.47","19,739.67","334.82M","0.47%"
"09/23/2024","19,852.20","19,848.71","19,892.78","19,797.82","304.53M","0.31%"
"09/20/2024","19,791.49","19,816.29","19,845.70","19,632.73","1.07B","-0.24%"
"09/19/2024","19,839.83","19,798.71","19,951.79","19,723.94","365.61M","2.56%"
"09/18/2024","19,344.49","19,478.51","19,643.51","19,330.81","295.84M","-0.45%"
"09/17/2024","19,432.40","19,539.75","19,596.34","19,337.12","256.22M","0.05%"
"09/16/2024","19,423.06","19,412.79","19,446.06","19,294.18","248.54M","-0.47%"
"09/13/2024","19,514.58","19,396.10","19,556.80","19,384.69","243.06M","0.47%"
"09/12/2024","19,423.07","19,236.42","19,456.41","19,166.80","307.71M","0.97%"
"09/11/2024","19,237.30","18,866.00","19,266.39","18,531.58","350.56M","2.17%"
"09/10/2024","18,829.14","18,722.15","18,845.74","18,570.67","260.76M","0.90%"
"09/09/2024","18,660.78","18,579.80","18,693.86","18,469.40","301.44M","1.30%"
"09/06/2024","18,421.31","18,903.03","18,930.77","18,400.97","394.22M","-2.69%"
"09/05/2024","18,930.33","18,864.42","19,102.35","18,806.83","280.71M","0.05%"
"09/04/2024","18,921.40","18,832.64","19,070.82","18,808.76","315.64M","-0.20%"
"09/03/2024","18,958.74","19,438.10","19,438.10","18,869.80","416.09M","-3.15%"
"08/30/2024","19,574.64","19,506.27","19,582.17","19,326.62","401.40M","1.29%"
"08/29/2024","19,325.45","19,425.28","19,622.73","19,281.65","308.04M","-0.13%"
"08/28/2024","19,350.78","19,567.45","19,587.04","19,221.48","285.14M","-1.18%"
"08/27/2024","19,581.52","19,450.57","19,617.92","19,369.53","219.96M","0.33%"
"08/26/2024","19,516.44","19,679.24","19,726.90","19,437.34","261.54M","-1.04%"
"08/23/2024","19,720.87","19,669.78","19,818.40","19,526.63","268.78M","1.18%"
"08/22/2024","19,491.83","19,911.28","19,938.89","19,459.86","294.78M","-1.68%"
"08/21/2024","19,824.84","19,758.47","19,885.34","19,690.64","231.85M","0.53%"
"08/20/2024","19,719.82","19,736.35","19,835.38","19,652.18","241.80M","-0.24%"
"08/19/2024","19,766.49","19,521.93","19,767.43","19,445.10","264.45M","1.32%"
"08/16/2024","19,508.52","19,393.73","19,561.24","19,376.72","275.10M","0.09%"
"08/15/2024","19,490.15","19,251.86","19,502.92","19,239.94","355.19M","2.46%"
"08/14/2024","19,022.67","19,043.76","19,103.00","18,837.10","289.28M","0.09%"
"08/13/2024","19,006.43","18,724.84","19,013.01","18,723.74","344.67M","2.50%"
"08/12/2024","18,542.03","18,548.23","18,665.75","18,433.61","259.04M","0.16%"
"08/09/2024","18,513.10","18,373.89","18,567.63","18,313.78","252.15M","0.54%"
"08/08/2024","18,413.82","18,102.04","18,445.41","17,965.07","362.40M","3.06%"
"08/07/2024","17,867.37","18,345.45","18,445.75","17,851.08","368.93M","-1.16%"
"08/06/2024","18,077.92","17,961.45","18,368.68","17,858.82","411.60M","1.02%"
"08/05/2024","17,895.15","17,444.40","18,169.49","17,435.39","595.13M","-2.96%"
"08/02/2024","18,440.85","18,494.24","18,628.78","18,263.50","511.33M","-2.38%"
"08/01/2024","18,890.39","19,375.97","19,538.97","18,737.09","449.77M","-2.44%"
"07/31/2024","19,362.43","19,222.85","19,426.62","19,162.91","445.22M","3.01%"
"07/30/2024","18,796.27","19,129.56","19,165.42","18,667.22","365.92M","-1.38%"
"07/29/2024","19,059.49","19,122.43","19,224.59","18,974.51","248.37M","0.19%"
"07/26/2024","19,023.66","18,990.20","19,142.68","18,899.31","286.95M","1.03%"
"07/25/2024","18,830.58","19,041.15","19,227.20","18,721.71","401.60M","-1.06%"
"07/24/2024","19,032.39","19,475.66","19,482.55","19,005.47","410.87M","-3.65%"
"07/23/2024","19,754.34","19,783.33","19,904.60","19,736.22","246.69M","-0.35%"
"07/22/2024","19,822.87","19,751.02","19,861.72","19,638.37","309.63M","1.54%"
"07/19/2024","19,522.62","19,687.80","19,784.48","19,479.38","365.45M","-0.93%"
"07/18/2024","19,705.09","19,936.24","19,947.98","19,575.79","337.67M","-0.48%"
"07/17/2024","19,799.14","20,041.31","20,080.27","19,793.75","420.20M","-2.94%"
"07/16/2024","20,398.62","20,441.53","20,477.00","20,266.51","240.94M","0.06%"
"07/15/2024","20,386.88","20,401.02","20,585.17","20,304.53","253.32M","0.27%"
"07/12/2024","20,331.49","20,226.23","20,526.08","20,217.99","281.70M","0.59%"
"07/11/2024","20,211.36","20,661.41","20,672.10","20,165.00","365.70M","-2.24%"
"07/10/2024","20,675.38","20,533.27","20,690.97","20,479.94","276.42M","1.09%"
"07/09/2024","20,453.02","20,504.17","20,543.90","20,395.57","255.97M","0.07%"
"07/08/2024","20,439.54","20,393.89","20,455.38","20,363.37","257.94M","0.23%"
"07/05/2024","20,391.97","20,224.13","20,406.99","20,201.50","267.56M","1.02%"
"07/03/2024","20,186.63","19,995.28","20,186.63","19,995.28","207.55M","0.87%"
"07/02/2024","20,011.89","19,746.22","20,014.92","19,741.81","274.48M","1.01%"
"07/01/2024","19,812.22","19,720.11","19,827.75","19,577.53","274.32M","0.66%"
"06/28/2024","19,682.87","19,817.01","20,017.72","19,665.85","543.10M","-0.54%"
"06/27/2024","19,789.03","19,740.51","19,850.81","19,701.34","293.17M","0.19%"
"06/26/2024","19,751.05","19,671.07","19,763.55","19,654.18","298.93M","0.25%"
"06/25/2024","19,701.13","19,555.84","19,712.42","19,523.51","326.87M","1.16%"
"06/24/2024","19,474.62","19,648.23","19,723.20","19,472.53","346.08M","-1.15%"
"06/21/2024","19,700.43","19,722.37","19,801.97","19,643.52","1.21B","-0.26%"
"06/20/2024","19,752.30","19,962.97","19,979.93","19,685.03","408.69M","-0.79%"
"06/18/2024","19,908.86","19,904.43","19,940.50","19,837.86","311.24M","0.03%"
"06/17/2024","19,902.75","19,681.86","19,977.84","19,623.71","318.10M","1.24%"
"06/14/2024","19,659.80","19,557.22","19,664.59","19,534.62","269.33M","0.42%"
"06/13/2024","19,576.92","19,609.05","19,639.45","19,473.71","312.35M","0.57%"
"06/12/2024","19,465.18","19,358.26","19,556.90","19,347.28","342.36M","1.33%"
"06/11/2024","19,210.19","19,031.40","19,212.63","18,966.56","262.84M","0.71%"
"06/10/2024","19,074.67","18,945.31","19,089.83","18,940.71","288.32M","0.39%"
"06/07/2024","19,000.95","18,992.58","19,113.88","18,958.68","198.59M","-0.11%"
"06/06/2024","19,021.19","19,053.01","19,071.79","18,978.86","237.11M","-0.07%"
"06/05/2024","19,035.05","18,791.28","19,035.87","18,768.25","261.89M","2.04%"
"06/04/2024","18,654.84","18,598.00","18,697.95","18,521.85","228.38M","0.29%"
"06/03/2024","18,600.97","18,666.72","18,707.22","18,392.57","239.19M","0.35%"
"05/31/2024","18,536.65","18,550.80","18,574.56","18,189.78","573.62M","-0.01%"
"05/30/2024","18,538.66","18,683.25","18,705.26","18,487.76","246.07M","-1.06%"
"05/29/2024","18,736.76","18,708.07","18,814.81","18,706.62","244.18M","-0.70%"
"05/28/2024","18,869.44","18,855.15","18,875.20","18,755.94","246.66M","0.32%"
"05/24/2024","18,808.35","18,669.36","18,851.99","18,664.79","217.31M","0.99%"
"05/23/2024","18,623.39","18,907.14","18,907.54","18,554.89","280.63M","-0.44%"
"05/22/2024","18,705.20","18,733.54","18,756.69","18,606.16","240.74M","-0.05%"
"05/21/2024","18,713.80","18,603.99","18,721.18","18,589.91","208.95M","0.21%"
"05/20/2024","18,674.19","18,559.22","18,703.83","18,549.84","190.68M","0.69%"
"05/17/2024","18,546.23","18,571.82","18,590.37","18,462.25","220.32M","-0.06%"
"05/16/2024","18,557.96","18,589.98","18,669.50","18,553.30","242.77M","-0.21%"
"05/15/2024","18,596.65","18,412.81","18,607.53","18,359.32","266.89M","1.49%"
"05/14/2024","18,322.77","18,187.51","18,339.58","18,175.30","221.74M","0.68%"
"05/13/2024","18,198.61","18,228.40","18,233.49","18,147.57","206.91M","0.21%"
"05/10/2024","18,161.18","18,171.15","18,247.61","18,099.72","202.63M","0.26%"
"05/09/2024","18,113.46","18,095.80","18,138.02","18,012.62","208.61M","0.16%"
"05/08/2024","18,085.01","17,987.71","18,135.34","17,987.71","220.30M","-0.04%"
"05/07/2024","18,091.45","18,106.33","18,156.32","18,061.60","229.73M","-0.01%"
"05/06/2024","18,093.57","17,950.98","18,094.46","17,937.28","227.98M","1.13%"
"05/03/2024","17,890.79","17,848.66","17,926.98","17,784.78","277.48M","1.99%"
"05/02/2024","17,541.54","17,474.92","17,575.81","17,290.64","269.97M","1.29%"
"05/01/2024","17,318.55","17,382.78","17,667.86","17,284.37","323.12M","-0.70%"
"04/30/2024","17,440.69","17,720.35","17,768.87","17,440.69","359.17M","-1.92%"
"04/29/2024","17,782.72","17,801.14","17,820.00","17,671.03","268.21M","0.36%"
"04/26/2024","17,718.30","17,566.22","17,772.78","17,533.08","284.95M","1.65%"
"04/25/2024","17,430.50","17,205.28","17,474.46","17,172.42","312.72M","-0.55%"
"04/24/2024","17,526.80","17,613.66","17,653.66","17,435.33","279.49M","0.32%"
"04/23/2024","17,471.47","17,297.24","17,513.31","17,277.26","236.42M","1.51%"
"04/22/2024","17,210.89","17,161.11","17,305.15","17,010.26","246.49M","1.02%"
"04/19/2024","17,037.65","17,334.71","17,362.28","16,973.94","337.47M","-2.05%"
"04/18/2024","17,394.31","17,514.77","17,590.81","17,376.49","227.44M","-0.57%"
"04/17/2024","17,493.62","17,785.82","17,788.54","17,459.57","228.98M","-1.24%"
"04/16/2024","17,713.66","17,691.45","17,817.73","17,660.89","216.64M","0.04%"
"04/15/2024","17,706.83","18,143.26","18,152.08","17,676.35","266.84M","-1.65%"
"04/12/2024","18,003.49","18,117.67","18,166.49","17,952.08","260.97M","-1.66%"
"04/11/2024","18,307.98","18,085.11","18,337.15","17,998.25","248.03M","1.65%"
"04/10/2024","18,011.65","17,957.96","18,040.83","17,932.42","238.25M","-0.87%"
"04/09/2024","18,169.90","18,188.87","18,210.02","17,973.07","226.55M","0.39%"
"04/08/2024","18,100.19","18,130.44","18,178.66","18,050.69","205.51M","-0.05%"
"04/05/2024","18,108.46","17,940.28","18,202.96","17,912.86","245.48M","1.28%"
"04/04/2024","17,878.78","18,331.02","18,362.29","17,875.75","291.30M","-1.55%"
"04/03/2024","18,160.19","18,054.44","18,238.67","18,045.42","239.90M","0.21%"
"04/02/2024","18,121.78","18,076.43","18,135.58","18,002.27","238.38M","-0.94%"
"04/01/2024","18,293.20","18,280.82","18,391.58","18,211.28","221.87M","0.21%"
"03/28/2024","18,254.69","18,263.41","18,308.32","18,231.38","270.49M","-0.14%"
"03/27/2024","18,280.84","18,338.19","18,344.09","18,168.20","231.83M","0.39%"
"03/26/2024","18,210.54","18,329.29","18,378.70","18,207.88","256.69M","-0.36%"
"03/25/2024","18,277.06","18,215.54","18,337.35","18,189.28","223.87M","-0.34%"
"03/22/2024","18,339.44","18,293.15","18,386.25","18,267.49","221.23M","0.10%"
"03/21/2024","18,320.38","18,438.24","18,464.70","18,317.10","271.73M","0.44%"
"03/20/2024","18,240.11","18,067.70","18,249.12","18,003.24","252.23M","1.15%"
"03/19/2024","18,032.21","17,902.51","18,039.82","17,809.15","255.99M","0.26%"
"03/18/2024","17,985.01","18,024.24","18,124.32","17,973.09","287.97M","0.99%"
"03/15/2024","17,808.25","17,926.92","17,930.47","17,764.99","711.62M","-1.15%"
"03/14/2024","18,014.81","18,114.69","18,142.90","17,913.63","309.74M","-0.30%"
"03/13/2024","18,068.47","18,151.76","18,163.74","18,030.40","278.94M","-0.83%"
"03/12/2024","18,219.12","18,063.02","18,228.37","17,919.33","241.02M","1.49%"
"03/11/2024","17,951.69","17,959.68","18,003.05","17,873.33","239.72M","-0.37%"
"03/08/2024","18,018.45","18,312.78","18,416.73","17,995.38","310.56M","-1.53%"
"03/07/2024","18,297.99","18,161.73","18,337.95","18,101.43","279.40M","1.56%"
"03/06/2024","18,017.58","18,083.51","18,142.88","17,941.65","274.11M","0.67%"
"03/05/2024","17,897.87","18,088.71","18,097.50","17,804.49","292.54M","-1.80%"
"03/04/2024","18,226.48","18,290.10","18,313.43","18,218.24","291.88M","-0.42%"
"03/01/2024","18,302.91","18,069.29","18,333.26","18,064.44","274.13M","1.44%"
"02/29/2024","18,043.85","17,991.67","18,068.52","17,866.26","464.32M","0.95%"
"02/28/2024","17,874.50","17,895.03","17,931.01","17,840.36","193.52M","-0.54%"
"02/27/2024","17,971.05","17,962.58","17,987.54","17,871.06","205.82M","0.21%"
"02/26/2024","17,933.33","17,970.21","18,014.11","17,926.66","238.30M","-0.02%"
"02/23/2024","17,937.61","18,052.59","18,091.62","17,902.78","264.98M","-0.37%"
"02/22/2024","18,004.70","17,857.76","18,034.80","17,808.26","315.27M","3.01%"
"02/21/2024","17,478.91","17,412.79","17,482.13","17,319.44","239.18M","-0.38%"
"02/20/2024","17,546.10","17,591.17","17,657.08","17,399.41","271.21M","-0.79%"
"02/16/2024","17,685.98","17,853.59","17,864.16","17,663.40","264.65M","-0.90%"
"02/15/2024","17,845.72","17,815.32","17,864.58","17,722.31","257.11M","0.21%"
"02/14/2024","17,807.63","17,728.90","17,815.18","17,619.92","240.24M","1.18%"
"02/13/2024","17,600.42","17,519.80","17,717.67","17,478.23","271.02M","-1.58%"
"02/12/2024","17,882.66","17,942.28","18,041.45","17,859.66","231.24M","-0.44%"
"02/09/2024","17,962.40","17,820.98","17,987.90","17,798.81","256.35M","1.01%"
"02/08/2024","17,783.17","17,757.60","17,814.12","17,728.55","233.85M","0.16%"
"02/07/2024","17,755.07","17,674.59","17,784.17","17,637.73","258.24M","1.04%"
"02/06/2024","17,572.73","17,664.44","17,680.62","17,475.43","238.77M","-0.23%"
"02/05/2024","17,613.04","17,634.69","17,655.77","17,469.62","252.95M","-0.17%"
"02/02/2024","17,642.73","17,415.94","17,682.29","17,378.37","316.28M","1.72%"
"02/01/2024","17,344.71","17,216.99","17,356.76","17,175.83","250.82M","1.21%"
"01/31/2024","17,137.24","17,269.97","17,375.32","17,128.74","367.66M","-1.94%"
"01/30/2024","17,476.71","17,556.49","17,578.46","17,443.77","245.22M","-0.68%"
"01/29/2024","17,596.27","17,438.03","17,603.95","17,414.62","239.92M","1.01%"
"01/26/2024","17,421.01","17,432.87","17,514.76","17,395.53","253.48M","-0.55%"
"01/25/2024","17,516.99","17,589.27","17,631.34","17,430.38","292.67M","0.10%"
"01/24/2024","17,499.30","17,562.32","17,665.26","17,481.97","262.44M","0.55%"
"01/23/2024","17,404.21","17,346.95","17,410.86","17,286.02","201.69M","0.43%"
"01/22/2024","17,330.38","17,403.62","17,450.30","17,309.87","257.99M","0.09%"
"01/19/2024","17,314.01","17,060.14","17,317.21","17,041.85","327.84M","1.95%"
"01/18/2024","16,982.29","16,894.33","16,996.98","16,818.13","264.84M","1.47%"
"01/17/2024","16,736.28","16,705.51","16,749.11","16,561.49","217.88M","-0.56%"
"01/16/2024","16,830.71","16,775.10","16,895.33","16,726.59","248.19M","-0.01%"
"01/12/2024","16,832.92","16,855.00","16,900.37","16,776.92","189.92M","0.07%"
"01/11/2024","16,820.90","16,852.19","16,898.16","16,618.86","220.32M","0.17%"
"01/10/2024","16,793.04","16,702.55","16,827.37","16,654.74","210.06M","0.69%"
"01/09/2024","16,678.70","16,531.96","16,710.88","16,513.73","224.71M","0.17%"
"01/08/2024","16,649.87","16,354.22","16,655.23","16,349.39","274.36M","2.11%"
"01/05/2024","16,305.98","16,281.74","16,415.39","16,249.19","222.09M","0.15%"
"01/04/2024","16,282.01","16,290.77","16,419.44","16,276.43","251.45M","-0.53%"
"01/03/2024","16,368.49","16,413.26","16,471.08","16,352.14","239.68M","-1.06%"
"01/02/2024","16,543.94","16,667.30","16,686.60","16,453.15","271.22M","-1.68%"
"12/29/2023","16,825.93","16,902.44","16,919.51","16,757.88","196.79M","-0.43%"
"12/28/2023","16,898.47","16,963.52","16,969.17","16,891.32","150.33M","-0.05%"
"12/27/2023","16,906.80","16,896.14","16,922.01","16,859.55","183.17M","0.17%"
"12/26/2023","16,878.46","16,816.78","16,907.51","16,813.56","146.87M","0.60%"
"12/22/2023","16,777.40","16,799.02","16,839.25","16,703.57","170.89M","0.12%"
"12/21/2023","16,757.41","16,719.61","16,768.02","16,621.52","217.45M","1.23%"
"12/20/2023","16,554.16","16,763.64","16,860.68","16,552.06","276.40M","-1.53%"
"12/19/2023","16,811.85","16,734.25","16,813.01","16,733.38","229.14M","0.49%"
"12/18/2023","16,729.80","16,631.11","16,764.31","16,629.29","249.90M","0.64%"
"12/15/2023","16,623.45","16,587.00","16,669.77","16,557.01","983.69M","0.52%"
"12/14/2023","16,537.83","16,603.54","16,660.71","16,419.26","393.17M","-0.15%"
"12/13/2023","16,562.37","16,392.18","16,581.04","16,357.21","265.47M","1.27%"
"12/12/2023","16,354.25","16,209.61","16,354.25","16,175.46","251.46M","0.82%"
"12/11/2023","16,221.74","16,069.61","16,232.25","16,061.87","303.78M","0.85%"
"12/08/2023","16,084.69","15,952.85","16,100.86","15,937.58","245.49M","0.39%"
"12/07/2023","16,022.49","15,888.23","16,042.51","15,875.48","262.70M","1.48%"
"12/06/2023","15,788.05","15,990.20","15,990.94","15,776.95","232.39M","-0.56%"
"12/05/2023","15,877.71","15,763.66","15,931.84","15,760.59","231.01M","0.24%"
"12/04/2023","15,839.67","15,837.12","15,852.45","15,695.58","255.86M","-0.99%"
"12/01/2023","15,997.58","15,892.59","16,013.75","15,834.93","247.68M","0.31%"
"11/30/2023","15,947.87","15,987.66","16,013.48","15,825.67","445.57M","-0.25%"
"11/29/2023","15,987.60","16,111.36","16,166.51","15,976.69","231.25M","-0.14%"
"11/28/2023","16,010.43","15,940.29","16,031.51","15,921.07","239.30M","0.30%"
"11/27/2023","15,961.98","15,969.72","16,045.30","15,932.19","216.16M","-0.13%"
"11/24/2023","15,982.01","15,974.85","16,007.43","15,940.62","103.12M","-0.12%"
"11/22/2023","16,001.39","16,025.74","16,119.31","15,964.04","203.06M","0.43%"
"11/21/2023","15,933.62","15,951.55","15,968.09","15,866.82","213.24M","-0.58%"
"11/20/2023","16,027.06","15,845.20","16,056.76","15,844.83","247.96M","1.19%"
"11/17/2023","15,837.99","15,803.98","15,876.87","15,766.94","259.85M","0.03%"
"11/16/2023","15,833.17","15,765.20","15,842.63","15,738.22","275.32M","0.10%"
"11/15/2023","15,817.18","15,881.72","15,904.63","15,765.31","274.37M","0.03%"
"11/14/2023","15,812.47","15,744.36","15,850.34","15,726.12","290.64M","2.13%"
"11/13/2023","15,482.79","15,469.21","15,524.66","15,404.71","197.95M","-0.30%"
"11/10/2023","15,529.12","15,252.36","15,535.20","15,237.17","279.09M","2.25%"
"11/09/2023","15,187.90","15,351.12","15,382.11","15,171.32","265.09M","-0.82%"
