"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2021","16,144.50","16,000.60","16,157.60","15,950.59","177.49M","1.08%"
"11/02/2021","15,972.49","15,885.34","15,988.33","15,877.27","175.57M","0.42%"
"11/01/2021","15,905.28","15,879.61","15,910.35","15,785.31","177.72M","0.35%"
"10/29/2021","15,850.47","15,638.74","15,856.90","15,638.74","210.86M","0.46%"
"10/28/2021","15,778.16","15,674.39","15,784.00","15,650.01","186.65M","1.15%"
"10/27/2021","15,598.39","15,603.16","15,729.75","15,578.68","197.76M","0.25%"
"10/26/2021","15,559.49","15,615.36","15,710.79","15,518.59","196.06M","0.29%"
"10/25/2021","15,514.19","15,417.25","15,555.65","15,338.49","172.55M","1.04%"
"10/22/2021","15,355.07","15,422.07","15,474.28","15,291.95","174.01M","-0.87%"
"10/21/2021","15,489.59","15,365.81","15,497.58","15,350.50","155.34M","0.66%"
"10/20/2021","15,388.71","15,448.00","15,457.11","15,333.43","139.67M","-0.14%"
"10/19/2021","15,410.72","15,349.45","15,414.97","15,320.62","140.10M","0.72%"
"10/18/2021","15,300.89","15,091.58","15,307.51","15,074.71","157.54M","1.02%"
"10/15/2021","15,146.92","15,106.97","15,150.14","15,064.59","201.85M","0.63%"
"10/14/2021","15,052.42","14,925.58","15,059.89","14,901.59","171.55M","1.88%"
"10/13/2021","14,774.60","14,751.80","14,800.83","14,676.58","162.40M","0.77%"
"10/12/2021","14,662.11","14,772.29","14,784.78","14,636.33","175.53M","-0.35%"
"10/11/2021","14,713.73","14,765.69","14,907.57","14,709.05","131.29M","-0.72%"
"10/08/2021","14,820.75","14,942.35","14,948.35","14,805.50","142.85M","-0.51%"
"10/07/2021","14,897.13","14,899.07","15,010.32","14,878.22","168.65M","0.88%"
"10/06/2021","14,766.75","14,529.89","14,775.64","14,499.48","174.39M","0.63%"
"10/05/2021","14,674.15","14,533.43","14,763.64","14,520.23","177.49M","1.40%"
"10/04/2021","14,472.12","14,713.60","14,727.60","14,384.93","223.38M","-2.16%"
"10/01/2021","14,791.87","14,731.38","14,830.84","14,555.12","192.23M","0.70%"
"09/30/2021","14,689.62","14,830.30","14,888.22","14,684.55","203.20M","-0.43%"
"09/29/2021","14,752.89","14,835.51","14,914.92","14,727.41","182.14M","-0.12%"
"09/28/2021","14,770.30","15,001.98","15,040.57","14,758.98","241.47M","-2.86%"
"09/27/2021","15,204.83","15,205.23","15,240.58","15,106.45","154.50M","-0.81%"
"09/24/2021","15,329.68","15,222.97","15,345.54","15,209.16","129.34M","0.09%"
"09/23/2021","15,316.58","15,231.19","15,356.92","15,199.43","144.60M","0.92%"
"09/22/2021","15,176.51","15,073.95","15,230.34","15,029.90","171.16M","0.99%"
"09/21/2021","15,027.77","15,096.98","15,139.90","14,986.98","153.29M","0.10%"
"09/20/2021","15,012.18","15,068.65","15,157.26","14,821.03","229.84M","-2.10%"
"09/17/2021","15,333.47","15,481.43","15,485.21","15,291.04","453.63M","-1.18%"
"09/16/2021","15,515.91","15,452.67","15,539.14","15,370.88","157.64M","0.08%"
"09/15/2021","15,503.53","15,419.95","15,518.95","15,316.40","193.25M","0.78%"
"09/14/2021","15,382.90","15,505.78","15,525.97","15,352.06","171.39M","-0.33%"
"09/13/2021","15,434.50","15,545.66","15,562.28","15,351.70","174.43M","-0.04%"
"09/10/2021","15,440.75","15,648.05","15,673.50","15,433.43","172.65M","-0.77%"
"09/09/2021","15,561.05","15,639.44","15,675.46","15,556.74","140.37M","-0.38%"
"09/08/2021","15,620.85","15,669.01","15,669.01","15,528.45","151.55M","-0.35%"
"09/07/2021","15,675.76","15,662.30","15,701.40","15,610.23","162.99M","0.15%"
"09/03/2021","15,652.86","15,578.96","15,668.12","15,554.97","129.04M","0.31%"
"09/02/2021","15,604.25","15,656.28","15,681.75","15,554.29","142.46M","-0.05%"
"09/01/2021","15,611.57","15,637.13","15,696.42","15,603.67","157.20M","0.19%"
"08/31/2021","15,582.51","15,601.34","15,604.45","15,522.78","224.25M","-0.14%"
"08/30/2021","15,605.09","15,460.93","15,620.62","15,459.74","144.22M","1.12%"
"08/27/2021","15,432.95","15,305.75","15,447.03","15,292.74","153.36M","1.01%"
"08/26/2021","15,278.52","15,348.98","15,369.28","15,265.23","136.20M","-0.59%"
"08/25/2021","15,368.92","15,384.83","15,404.36","15,341.92","174.49M","0.07%"
"08/24/2021","15,357.68","15,338.92","15,384.42","15,319.55","147.83M","0.29%"
"08/23/2021","15,312.82","15,140.14","15,341.47","15,140.14","164.19M","1.46%"
"08/20/2021","15,092.57","14,974.06","15,103.94","14,968.87","176.44M","1.06%"
"08/19/2021","14,933.93","14,773.19","15,000.19","14,773.19","186.79M","0.51%"
"08/18/2021","14,857.92","14,975.02","15,039.90","14,846.51","152.36M","-0.97%"
"08/17/2021","15,002.83","15,018.94","15,062.70","14,906.22","159.61M","-0.91%"
"08/16/2021","15,140.77","15,090.05","15,142.03","14,931.15","157.03M","0.03%"
"08/13/2021","15,136.68","15,101.84","15,150.48","15,079.30","126.45M","0.32%"
"08/12/2021","15,088.98","15,012.60","15,097.91","14,956.25","150.50M","0.41%"
"08/11/2021","15,027.76","15,101.82","15,127.78","14,972.60","152.59M","-0.17%"
"08/10/2021","15,053.58","15,157.37","15,169.45","15,010.16","150.54M","-0.53%"
"08/09/2021","15,133.11","15,136.14","15,154.68","15,081.75","138.30M","0.16%"
"08/06/2021","15,109.36","15,125.74","15,162.34","15,063.02","153.25M","-0.48%"
"08/05/2021","15,181.64","15,105.40","15,184.27","15,083.83","152.62M","0.65%"
"08/04/2021","15,083.39","15,059.17","15,117.38","15,017.14","193.18M","0.15%"
"08/03/2021","15,061.42","14,997.20","15,063.66","14,864.53","166.87M","0.65%"
"08/02/2021","14,963.62","15,046.10","15,059.89","14,945.13","157.33M","0.02%"
"07/30/2021","14,959.90","14,882.39","14,990.86","14,882.39","189.00M","-0.59%"
"07/29/2021","15,048.36","15,015.30","15,091.96","15,004.42","177.41M","0.20%"
"07/28/2021","15,018.10","15,005.17","15,078.85","14,913.55","202.00M","0.41%"
"07/27/2021","14,956.97","15,103.01","15,107.74","14,787.80","220.40M","-1.12%"
"07/26/2021","15,125.95","15,088.28","15,142.35","15,048.23","168.93M","0.09%"
"07/23/2021","15,111.79","15,004.43","15,125.84","14,948.04","165.31M","1.15%"
"07/22/2021","14,940.17","14,865.47","14,941.38","14,865.47","138.61M","0.66%"
"07/21/2021","14,842.63","14,723.67","14,843.17","14,710.11","156.24M","0.78%"
"07/20/2021","14,728.21","14,601.33","14,790.60","14,530.78","276.12M","1.23%"
"07/19/2021","14,549.09","14,517.96","14,578.96","14,455.07","204.01M","-0.90%"
"07/16/2021","14,681.38","14,842.08","14,875.97","14,667.10","172.33M","-0.77%"
"07/15/2021","14,794.69","14,903.49","14,907.51","14,717.55","163.32M","-0.71%"
"07/14/2021","14,900.44","14,984.86","15,001.13","14,871.73","156.74M","0.17%"
"07/13/2021","14,874.54","14,871.04","15,002.28","14,843.80","134.41M","-0.02%"
"07/12/2021","14,877.89","14,878.71","14,899.46","14,813.79","135.33M","0.35%"
"07/09/2021","14,826.09","14,709.33","14,838.72","14,685.54","158.93M","0.71%"
"07/08/2021","14,722.14","14,577.67","14,763.67","14,551.76","178.03M","-0.60%"
"07/07/2021","14,810.53","14,889.76","14,891.19","14,735.75","151.62M","0.16%"
"07/06/2021","14,786.36","14,755.15","14,797.45","14,635.31","167.10M","0.40%"
"07/02/2021","14,727.63","14,633.51","14,738.14","14,626.82","140.17M","1.15%"
"07/01/2021","14,560.05","14,530.63","14,576.64","14,483.42","151.35M","0.04%"
"06/30/2021","14,554.80","14,560.07","14,582.30","14,530.87","174.74M","-0.12%"
"06/29/2021","14,572.75","14,523.63","14,575.19","14,481.84","139.36M","0.33%"
"06/28/2021","14,524.98","14,401.63","14,530.07","14,400.59","152.05M","1.25%"
"06/25/2021","14,345.18","14,396.63","14,401.71","14,324.26","248.91M","-0.14%"
"06/24/2021","14,365.96","14,358.30","14,429.14","14,337.65","146.08M","0.64%"
"06/23/2021","14,274.24","14,275.09","14,324.74","14,247.58","132.78M","0.03%"
"06/22/2021","14,270.42","14,140.30","14,288.49","14,128.01","149.36M","0.94%"
"06/21/2021","14,137.23","14,055.03","14,150.91","13,967.89","159.46M","0.62%"
"06/18/2021","14,049.58","14,125.12","14,140.61","14,024.60","403.49M","-0.81%"
"06/17/2021","14,163.81","13,946.70","14,205.43","13,946.52","190.93M","1.29%"
"06/16/2021","13,983.01","14,053.12","14,100.11","13,843.60","170.77M","-0.34%"
"06/15/2021","14,030.41","14,120.81","14,126.25","14,008.93","139.28M","-0.69%"
"06/14/2021","14,128.20","14,002.14","14,129.33","13,963.94","152.38M","0.93%"
"06/11/2021","13,998.30","13,959.47","13,998.65","13,934.00","138.26M","0.27%"
"06/10/2021","13,960.35","13,834.26","13,962.99","13,817.83","161.47M","1.05%"
"06/09/2021","13,814.94","13,865.51","13,900.71","13,811.05","142.01M","0.03%"
"06/08/2021","13,810.86","13,873.46","13,913.40","13,746.42","171.52M","0.06%"
"06/07/2021","13,802.89","13,744.15","13,808.42","13,710.11","158.49M","0.23%"
"06/04/2021","13,770.77","13,619.79","13,784.77","13,613.58","148.48M","1.78%"
"06/03/2021","13,529.68","13,568.91","13,608.54","13,469.85","157.94M","-1.07%"
"06/02/2021","13,675.79","13,655.71","13,712.68","13,610.16","151.45M","0.16%"
"06/01/2021","13,654.59","13,764.27","13,773.45","13,602.12","157.44M","-0.23%"
"05/28/2021","13,686.51","13,717.00","13,765.80","13,684.83","164.33M","0.21%"
"05/27/2021","13,657.85","13,686.86","13,724.76","13,652.13","307.94M","-0.33%"
"05/26/2021","13,702.74","13,687.71","13,726.06","13,661.06","153.51M","0.33%"
"05/25/2021","13,657.73","13,701.30","13,734.41","13,614.54","154.43M","0.12%"
"05/24/2021","13,641.75","13,504.39","13,687.60","13,500.12","154.55M","1.71%"
"05/21/2021","13,411.74","13,573.22","13,573.84","13,401.53","173.17M","-0.61%"
"05/20/2021","13,494.09","13,294.59","13,526.01","13,293.10","185.10M","1.94%"
"05/19/2021","13,237.91","12,998.53","13,243.98","12,994.35","201.19M","0.15%"
"05/18/2021","13,217.68","13,352.26","13,400.52","13,212.85","160.78M","-0.72%"
"05/17/2021","13,312.91","13,329.86","13,350.14","13,196.57","159.03M","-0.60%"
"05/14/2021","13,393.11","13,238.99","13,430.00","13,220.18","175.04M","2.17%"
"05/13/2021","13,109.15","13,133.73","13,226.64","13,006.77","195.42M","0.83%"
"05/12/2021","13,001.63","13,155.07","13,236.89","12,967.18","219.84M","-2.62%"
"05/11/2021","13,351.27","13,102.64","13,381.66","13,094.76","207.66M","-0.06%"
"05/10/2021","13,359.08","13,647.73","13,648.49","13,358.62","217.49M","-2.63%"
"05/07/2021","13,719.63","13,715.56","13,814.66","13,669.78","171.70M","0.78%"
"05/06/2021","13,613.73","13,490.94","13,617.33","13,403.46","192.04M","0.82%"
"05/05/2021","13,503.37","13,649.12","13,676.86","13,478.58","180.30M","-0.30%"
"05/04/2021","13,544.67","13,680.63","13,705.38","13,396.11","221.33M","-1.85%"
"05/03/2021","13,799.72","13,923.04","13,955.00","13,784.66","166.87M","-0.44%"
"04/30/2021","13,860.76","13,857.79","13,969.20","13,838.82","211.03M","-0.78%"
"04/29/2021","13,970.20","14,063.94","14,073.48","13,836.10","197.09M","0.49%"
"04/28/2021","13,901.62","13,953.61","13,992.08","13,895.15","199.19M","-0.42%"
"04/27/2021","13,960.28","14,048.13","14,048.34","13,931.18","168.17M","-0.47%"
"04/26/2021","14,026.16","13,954.94","14,039.40","13,919.93","161.38M","0.61%"
"04/23/2021","13,941.44","13,794.49","13,989.43","13,789.45","172.09M","1.30%"
"04/22/2021","13,762.36","13,920.88","13,954.03","13,716.76","172.74M","-1.24%"
"04/21/2021","13,935.15","13,768.92","13,939.70","13,717.44","166.85M","0.91%"
"04/20/2021","13,809.30","13,891.96","13,934.89","13,730.59","161.46M","-0.71%"
"04/19/2021","13,907.67","13,970.83","14,025.64","13,835.75","177.42M","-0.96%"
"04/16/2021","14,041.91","14,035.96","14,050.38","13,966.54","194.73M","0.11%"
"04/15/2021","14,026.19","13,934.87","14,040.11","13,931.01","177.92M","1.61%"
"04/14/2021","13,803.91","13,988.86","13,990.54","13,782.17","161.34M","-1.31%"
"04/13/2021","13,986.49","13,874.58","14,002.53","13,874.58","164.97M","1.21%"
"04/12/2021","13,819.35","13,792.74","13,839.39","13,747.63","178.22M","-0.19%"
"04/09/2021","13,845.06","13,709.67","13,849.31","13,674.92","160.65M","0.63%"
"04/08/2021","13,758.50","13,730.73","13,763.18","13,703.51","163.89M","1.04%"
"04/07/2021","13,616.70","13,553.90","13,648.80","13,532.63","144.11M","0.28%"
"04/06/2021","13,578.46","13,567.20","13,660.29","13,551.60","163.84M","-0.14%"
"04/05/2021","13,598.16","13,434.04","13,623.60","13,420.81","178.50M","2.02%"
"04/01/2021","13,329.51","13,268.88","13,333.41","13,255.82","187.35M","1.82%"
"03/31/2021","13,091.44","12,970.33","13,167.06","12,966.65","247.92M","1.51%"
"03/30/2021","12,896.53","12,904.01","12,929.46","12,798.03","172.81M","-0.53%"
"03/29/2021","12,965.74","12,950.51","13,013.48","12,836.60","199.25M","-0.10%"
"03/26/2021","12,979.12","12,777.27","12,992.30","12,721.66","253.00M","1.55%"
"03/25/2021","12,780.51","12,707.58","12,845.66","12,627.92","216.99M","-0.14%"
"03/24/2021","12,798.88","13,072.82","13,077.49","12,797.84","208.06M","-1.68%"
"03/23/2021","13,017.79","13,127.17","13,180.66","12,993.50","203.45M","-0.53%"
"03/22/2021","13,086.51","12,943.14","13,167.46","12,943.14","209.33M","1.71%"
"03/19/2021","12,866.99","12,792.67","12,906.02","12,704.07","575.60M","0.61%"
"03/18/2021","12,789.14","13,006.29","13,040.36","12,781.53","226.02M","-3.13%"
"03/17/2021","13,202.38","13,024.83","13,280.29","12,950.08","220.85M","0.38%"
"03/16/2021","13,152.28","13,156.65","13,297.48","13,091.78","186.93M","0.53%"
"03/15/2021","13,082.54","12,936.13","13,085.01","12,885.64","180.21M","1.12%"
"03/12/2021","12,937.29","12,873.39","12,943.58","12,778.12","184.56M","-0.89%"
"03/11/2021","13,052.90","12,960.53","13,117.86","12,920.00","211.63M","2.36%"
"03/10/2021","12,752.07","12,950.25","12,979.38","12,726.85","214.22M","-0.33%"
"03/09/2021","12,794.49","12,635.45","12,868.52","12,592.83","252.07M","4.03%"
"03/08/2021","12,299.08","12,629.56","12,718.58","12,287.57","273.33M","-2.92%"
"03/05/2021","12,668.51","12,594.16","12,700.95","12,208.39","302.02M","1.64%"
"03/04/2021","12,464.00","12,655.92","12,799.08","12,314.16","307.81M","-1.73%"
"03/03/2021","12,683.33","13,020.10","13,057.29","12,679.89","230.65M","-2.88%"
"03/02/2021","13,059.95","13,297.76","13,301.62","13,052.12","195.31M","-1.68%"
"03/01/2021","13,282.95","13,106.02","13,293.78","13,051.70","207.57M","2.89%"
"02/26/2021","12,909.44","12,958.97","13,090.36","12,764.34","312.55M","0.63%"
"02/25/2021","12,828.31","13,197.75","13,294.56","12,773.76","260.93M","-3.56%"
"02/24/2021","13,302.19","13,095.86","13,312.42","12,971.82","214.77M","0.81%"
"02/23/2021","13,194.71","12,982.36","13,259.85","12,758.12","261.29M","-0.22%"
"02/22/2021","13,223.74","13,414.04","13,447.37","13,220.77","215.67M","-2.63%"
"02/19/2021","13,580.78","13,686.23","13,701.69","13,545.45","193.94M","-0.42%"
"02/18/2021","13,637.51","13,556.01","13,669.94","13,477.17","169.46M","-0.45%"
"02/17/2021","13,699.71","13,636.15","13,713.14","13,552.67","163.37M","-0.54%"
"02/16/2021","13,773.77","13,841.03","13,879.77","13,726.77","168.06M","-0.25%"
"02/12/2021","13,807.70","13,695.90","13,816.25","13,656.78","137.79M","0.53%"
"02/11/2021","13,734.35","13,723.63","13,747.20","13,637.19","156.64M","0.58%"
"02/10/2021","13,655.27","13,751.42","13,770.91","13,531.93","175.91M","-0.23%"
"02/09/2021","13,687.08","13,667.14","13,741.79","13,664.70","151.60M","-0.06%"
"02/08/2021","13,695.02","13,672.33","13,698.41","13,607.96","181.11M","0.67%"
"02/05/2021","13,603.96","13,592.77","13,642.96","13,527.81","172.27M","0.32%"
"02/04/2021","13,560.89","13,454.85","13,563.13","13,406.44","195.08M","1.18%"
"02/03/2021","13,402.37","13,555.03","13,561.45","13,400.08","181.61M","-0.40%"
"02/02/2021","13,456.12","13,371.36","13,501.23","13,363.75","191.13M","1.56%"
"02/01/2021","13,248.90","13,067.65","13,280.22","12,983.10","199.89M","2.50%"
"01/29/2021","12,925.38","13,124.70","13,167.87","12,845.43","285.52M","-2.09%"
"01/28/2021","13,201.53","13,163.32","13,401.85","13,150.10","259.13M","0.68%"
"01/27/2021","13,112.65","13,371.16","13,393.51","13,034.14","332.77M","-2.80%"
"01/26/2021","13,490.19","13,507.47","13,536.30","13,440.32","183.91M","0.05%"
"01/25/2021","13,483.29","13,515.63","13,563.70","13,205.59","221.64M","0.87%"
"01/22/2021","13,366.40","13,356.18","13,404.77","13,336.90","185.53M","-0.29%"
"01/21/2021","13,404.99","13,356.70","13,433.69","13,297.79","195.49M","0.82%"
"01/20/2021","13,296.45","13,155.11","13,332.26","13,138.31","209.51M","2.31%"
"01/19/2021","12,996.54","12,921.61","13,012.09","12,861.30","208.17M","1.50%"
"01/15/2021","12,803.93","12,898.09","12,941.29","12,758.10","244.67M","-0.73%"
"01/14/2021","12,898.69","13,010.94","13,037.05","12,886.16","198.57M","-0.58%"
"01/13/2021","12,973.63","12,911.87","13,008.84","12,878.02","207.31M","0.63%"
"01/12/2021","12,892.09","12,916.10","12,957.43","12,783.71","184.51M","-0.08%"
"01/11/2021","12,902.49","12,961.50","13,023.22","12,883.59","196.99M","-1.55%"
"01/08/2021","13,105.20","13,037.24","13,113.09","12,939.73","220.39M","1.28%"
"01/07/2021","12,939.57","12,745.41","12,966.68","12,744.82","215.74M","2.51%"
"01/06/2021","12,623.35","12,601.26","12,803.29","12,569.42","243.87M","-1.40%"
"01/05/2021","12,802.38","12,663.13","12,809.67","12,663.13","175.19M","0.85%"
"01/04/2021","12,694.67","12,950.22","12,950.22","12,537.42","242.64M","-1.50%"
"12/31/2020","12,888.28","12,852.96","12,904.09","12,804.75","158.54M","0.33%"
"12/30/2020","12,845.36","12,900.03","12,917.45","12,828.79","136.77M","0.01%"
"12/29/2020","12,843.49","12,909.86","12,925.53","12,816.59","155.88M","0.04%"
"12/28/2020","12,838.86","12,813.97","12,861.91","12,747.05","144.84M","1.01%"
"12/24/2020","12,711.01","12,668.19","12,732.55","12,665.80","72.67M","0.46%"
"12/23/2020","12,653.14","12,733.75","12,737.59","12,649.60","145.40M","-0.51%"
"12/22/2020","12,717.56","12,715.48","12,761.23","12,606.42","176.87M","0.22%"
"12/21/2020","12,690.26","12,575.60","12,706.44","12,474.03","216.76M","-0.38%"
"12/18/2020","12,738.18","12,786.92","12,793.47","12,611.22","682.51M","-0.11%"
"12/17/2020","12,752.06","12,741.64","12,760.97","12,685.98","178.08M","0.66%"
"12/16/2020","12,668.16","12,607.87","12,698.11","12,568.71","184.13M","0.57%"
"12/15/2020","12,595.92","12,565.28","12,596.84","12,467.57","194.79M","1.07%"
"12/14/2020","12,462.21","12,427.86","12,544.31","12,426.25","206.34M","0.70%"
"12/11/2020","12,375.41","12,327.07","12,378.61","12,236.80","170.46M","-0.21%"
"12/10/2020","12,401.74","12,268.47","12,447.85","12,226.13","182.10M","0.30%"
"12/09/2020","12,364.64","12,626.97","12,643.24","12,311.30","227.70M","-2.15%"
"12/08/2020","12,635.72","12,574.84","12,651.35","12,504.97","168.73M","0.31%"
"12/07/2020","12,596.47","12,523.57","12,610.00","12,523.12","169.91M","0.54%"
"12/04/2020","12,528.48","12,479.91","12,531.21","12,450.51","168.42M","0.49%"
"12/03/2020","12,467.13","12,469.16","12,538.92","12,445.36","180.46M","0.09%"
"12/02/2020","12,456.41","12,390.58","12,472.25","12,318.27","176.96M","0.01%"
"12/01/2020","12,455.33","12,387.62","12,510.02","12,338.36","227.09M","1.52%"
"11/30/2020","12,268.32","12,278.78","12,299.61","12,090.93","354.41M","0.08%"
"11/27/2020","12,258.21","12,220.37","12,306.71","12,214.44","101.90M","0.87%"
"11/25/2020","12,152.22","12,112.11","12,174.99","12,081.51","164.42M","0.60%"
"11/24/2020","12,079.81","11,952.70","12,094.16","11,878.31","211.73M","1.46%"
"11/23/2020","11,905.94","11,959.89","12,001.83","11,817.53","189.11M","0.00%"
"11/20/2020","11,906.44","11,976.00","12,017.42","11,903.57","192.39M","-0.66%"
"11/19/2020","11,985.43","11,863.12","12,000.29","11,842.67","179.58M","0.76%"
"11/18/2020","11,894.71","11,963.36","12,027.15","11,892.54","200.78M","-0.69%"
"11/17/2020","11,977.49","12,030.27","12,047.13","11,964.20","194.30M","-0.30%"
"11/16/2020","12,013.39","11,925.36","12,035.50","11,891.85","213.93M","0.63%"
"11/13/2020","11,937.84","11,910.62","11,957.09","11,808.94","169.68M","0.94%"
"11/12/2020","11,827.14","11,924.15","11,976.89","11,786.09","181.21M","-0.55%"
"11/11/2020","11,892.93","11,734.82","11,904.13","11,714.32","186.65M","2.31%"
"11/10/2020","11,624.29","11,704.46","11,761.95","11,512.46","260.14M","-1.74%"
"11/09/2020","11,830.39","12,194.71","12,268.66","11,818.24","318.98M","-2.16%"
"11/06/2020","12,091.35","12,044.29","12,116.91","11,895.50","177.20M","0.11%"
"11/05/2020","12,078.07","12,021.77","12,117.04","11,977.07","210.41M","2.56%"
"11/04/2020","11,777.02","11,627.76","11,846.46","11,564.91","271.40M","4.41%"
"11/03/2020","11,279.91","11,155.84","11,356.08","11,115.55","193.87M","1.76%"
"11/02/2020","11,084.76","11,152.48","11,222.52","10,957.11","191.98M","0.29%"